Day ,Treatment ,Tank ,Embryos ,Total ,,,Treatment ,Total Embryos ,Mean,SEM,,,,,,,,
1,Vehicle ,1,0,314,,,Vehicle ,3002,300.2,63.23638193,,,,,,,,
1,Vehicle ,3,253,,,,25 ug/g,5278,527.8,50.78687494,,,,,,,,
1,Vehicle ,5,61,,,,,,,,,,,,,,,
1,25 ug/g,13,253,521,,,,,,,,,,,,,,
1,25 ug/g,15,81,,,,,,,,,,,,,,,
1,25 ug/g,17,187,,,,,,,,,,,,,,,
2,Vehicle ,2,181,301,,,,,,,,,,,,,,
2,Vehicle ,4,120,,,,,,,,,,,,,,,
2,Vehicle ,6,0,,,,,,,,,,,,,,,
2,25 ug/g,14,70,582,,,,,,,,,,,,,,
2,25 ug/g,16,107,,,,,,,,,,,,,,,
2,25 ug/g,18,405,,,,,,,,,,,,,,,
3,Vehicle ,1,8,214,,,,,,,,,,,,,,
3,Vehicle ,3,104,,,,,,,,,,,,,,,
3,Vehicle ,5,102,,,,,,,,,,,,,,,
3,25 ug/g,13,230,695,,,,,,,,,,,,,,
3,25 ug/g,15,321,,,,,,,,,,,,,,,
3,25 ug/g,17,144,,,,,,,,,,,,,,,
4,Vehicle ,2,172,255,,,,,,,,,,,,,,
4,Vehicle ,4,76,,,,,,,,,,,,,,,
4,Vehicle ,6,7,,,,,,,,,,,,,,,
4,25 ug/g,14,62,417,,,,,,,,,,,,,,
4,25 ug/g,16,194,,,,,,,,,,,,,,,
4,25 ug/g,18,161,,,,,,,,,,,,,,,
5,Vehicle ,1,0,14,,,,,,,,,,,,,,
5,Vehicle ,3,0,,,,,,,,,,,,,,,
5,Vehicle ,5,14,,,,,,,,,,,,,,,
5,25 ug/g,13,7,244,,,,,,,,,,,,,,
5,25 ug/g,15,132,,,,,,,,,,,,,,,
5,25 ug/g,17,105,,,,,,,,,,,,,,,
6,Vehicle ,2,2,108,,,,,,,,,,,,,,
6,Vehicle ,4,106,,,,,,,,,,,,,,,
6,Vehicle ,6,0,,,,,,,,,,,,,,,
6,25 ug/g,14,185,683,,,,,,,,,,,,,,
6,25 ug/g,16,115,,,,,,,,,,,,,,,
6,25 ug/g,18,383,,,,,,,,,,,,,,,
7,Vehicle ,1,0,275,,,,,,,,,,,,,,
7,Vehicle ,3,245,,,,,,,,,,,,,,,
7,Vehicle ,5,30,,,,,,,,,,,,,,,
7,25 ug/g,13,182,391,,,,,,,,,,,,,,
7,25 ug/g,15,152,,,,,,,,,,,,,,,
7,25 ug/g,17,57,,,,,,,,,,,,,,,
8,Vehicle ,2,174,768,,,,,,,,,,,,,,
8,Vehicle ,4,305,,,,,,,,,,,,,,,
8,Vehicle ,6,289,,,,,,,,,,,,,,,
8,25 ug/g,14,389,661,,,,,,,,,,,,,,
8,25 ug/g,16,136,,,,,,,,,,,,,,,
8,25 ug/g,18,136,,,,,,,,,,,,,,,
9,Vehicle ,1,0,365,,,,,,,,,,,,,,
9,Vehicle ,3,261,,,,,,,,,,,,,,,
9,Vehicle ,5,104,,,,,,,,,,,,,,,
9,25 ug/g,13,142,696,,,,,,,,,,,,,,
9,25 ug/g,15,291,,,,,,,,,,,,,,,
9,25 ug/g,17,263,,,,,,,,,,,,,,,
10,Vehicle ,2,205,388,,,,,,,,,,,,,,
10,Vehicle ,4,183,,,,,,,,,,,,,,,
10,Vehicle ,6,0,,,,,,,,,,,,,,,
10,25 ug/g,14,49,388,,,,,,,,,,,,,,
10,25 ug/g,16,165,,,,,,,,,,,,,,,
10,25 ug/g,18,174,,,,,,,,,,,,,,,